District	Headquarters	Population_2011_Census	Area_sq_km	Major_River	Notable_For
Hyderabad	Hyderabad	3943323	217	Musi	Capital City, IT Hub, Charminar
Jagtial	Jagtial	985417	2419	Godavari	Kondagattu Temple, Jagtial Fort, Mangoes
Warangal	Hanamkonda	1135707	2175	Godavari Basin	Kakatiya Heritage, Thousand Pillar Temple
Karimnagar	Karimnagar	1005711	2128	Godavari, Manair	Silver Filigree, Lower Manair Dam
Nizamabad	Nizamabad	1571022	4288	Godavari, Manjira	Nizam Sagar Dam, Sriram Sagar Project
Adilabad	Adilabad	708972	4153	Penganga, Pranahita	Kuntala Waterfall, Kawal Tiger Reserve
Khammam	Khammam	1401639	4361	Godavari, Munneru	Singareni Collieries, Palair Reservoir
Mahbubnagar	Mahbubnagar	919903	2738	Krishna, Tungabhadra	Pillalamarri Great Banyan Tree
Medak	Medak	767428	2786	Manjira	Medak Cathedral, Pocharam Wildlife Sanctuary
